Week;Date;Till;Accounts;Total;Cash;# Cust.;Cash Av Spend;EFTPOS;# Cust.2;Cust # TOTAL;EFTPOS Av $pend;TOTAL Av Spend;Notes;Till Up Down;Reserved column;# of the week;Year;Day of the week;Week + Year;IsCristmas;Fixed
1;24 сент€бр€ 2007 г.;$535,00;$0,00;$0,00;$535,00;26;$20,58;$0,00;0;26;$0,00;$20,58;;;;39;2007;Mon;2007-39;0;
1;25 сент€бр€ 2007 г.;$650,00;$0,00;$0,00;$650,00;42;$15,48;$0,00;0;42;$0,00;$15,48;;;;39;2007;Tue;2007-39;0;
1;26 сент€бр€ 2007 г.;$575,00;$0,00;$0,00;$575,00;38;$15,13;$0,00;0;38;$0,00;$15,13;;;;39;2007;Wed;2007-39;0;
1;27 сент€бр€ 2007 г.;$620,00;$0,00;$0,00;$620,00;35;$17,71;$0,00;0;35;$0,00;$17,71;;;;39;2007;Thu;2007-39;0;
1;28 сент€бр€ 2007 г.;$1 070,00;$0,00;$0,00;$1 070,00;52;$20,58;$0,00;0;52;$0,00;$20,58;;;;39;2007;Fri;2007-39;0;
1;29 сент€бр€ 2007 г.;$260,00;$0,00;$0,00;$260,00;15;$17,33;$0,00;0;15;$0,00;$17,33;;;;39;2007;Sat;2007-39;0;
;30 сент€бр€ 2007 г.;$3 710,00;$1 395,56;$5 105,56;;208;$17,80;$0,00;0;208;$0,00;$17,80;;;;40;2007;Sun;2007-40;0;
2;1 окт€бр€ 2007 г.;$330,00;$0,00;$0,00;$330,00;20;$16,50;$0,00;0;20;$0,00;$16,50;;;;40;2007;Mon;2007-40;0;
2;2 окт€бр€ 2007 г.;$510,00;$0,00;$0,00;$510,00;36;$14,17;$0,00;0;36;$0,00;$14,17;;;;40;2007;Tue;2007-40;0;
2;3 окт€бр€ 2007 г.;$620,00;$0,00;$0,00;$620,00;45;$13,78;$0,00;0;45;$0,00;$13,78;;;;40;2007;Wed;2007-40;0;
2;4 окт€бр€ 2007 г.;$780,00;$0,00;$0,00;$780,00;39;$20,00;$0,00;0;39;$0,00;$20,00;;;;40;2007;Thu;2007-40;0;
2;5 окт€бр€ 2007 г.;$2 409,61;$0,00;$0,00;$2 409,61;41;$58,77;$0,00;0;41;$0,00;$58,77;(inc $1250 killer);;;40;2007;Fri;2007-40;0;
2;6 окт€бр€ 2007 г.;$294,35;$0,00;$0,00;$294,35;15;$19,62;$0,00;0;15;$0,00;$19,62;;;;40;2007;Sat;2007-40;0;
;7 окт€бр€ 2007 г.;$4 943,96;$1 245,24;$6 189,20;;196;$23,81;$0,00;0;196;$0,00;$23,81;;;;41;2007;Sun;2007-41;0;
3;8 окт€бр€ 2007 г.;$674,84;$0,00;$0,00;$674,84;42;$16,07;$0,00;0;42;$0,00;$16,07;New Till;;;41;2007;Mon;2007-41;0;
3;9 окт€бр€ 2007 г.;$617,16;$0,00;$0,00;$574,65;42;$13,68;$42,51;3;45;$14,17;$13,71;;;;41;2007;Tue;2007-41;0;
3;10 окт€бр€ 2007 г.;$580,70;$0,00;$0,00;$561,85;29;$19,37;$18,90;1;30;$18,90;$19,36;;;;41;2007;Wed;2007-41;0;
3;11 окт€бр€ 2007 г.;$946,22;$0,00;$0,00;$855,15;51;$16,77;$91,07;2;53;$45,54;$17,85;;;;41;2007;Thu;2007-41;0;
3;12 окт€бр€ 2007 г.;$1 682,46;$0,00;$0,00;$1 588,15;52;$30,54;$94,31;4;56;$23,58;$30,04;;;;41;2007;Fri;2007-41;0;
3;13 окт€бр€ 2007 г.;$970,95;$0,00;$0,00;$917,00;30;$30,57;$53,95;3;33;$17,98;$29,42;;;;41;2007;Sat;2007-41;0;
;14 окт€бр€ 2007 г.;$5 472,33;$1 594,07;$7 067,07;;246;$21,17;$300,74;13;259;$20,03;$21,08;;;;42;2007;Sun;2007-42;0;
4;15 окт€бр€ 2007 г.;$664,51;$0,00;$0,00;$606,95;44;$13,79;$57,56;1;45;$57,56;$14,77;;;;42;2007;Mon;2007-42;0;
4;16 окт€бр€ 2007 г.;$410,35;$0,00;$0,00;$400,35;29;$13,81;$10,00;1;30;$10,00;$13,68;;;;42;2007;Tue;2007-42;0;
4;17 окт€бр€ 2007 г.;$1 019,87;$0,00;$0,00;$984,90;39;$25,25;$34,97;2;41;$17,49;$24,87;;;;42;2007;Wed;2007-42;0;
4;18 окт€бр€ 2007 г.;$851,63;$0,00;$0,00;$840,00;?;$0,00;$11,63;1;1;$11,63;$851,63;;;;42;2007;Thu;2007-42;0;
4;19 окт€бр€ 2007 г.;$2 294,05;$0,00;$0,00;$1 563,40;32;$48,86;$730,65;2;34;$365,33;$67,47;(inc 1/2 side);;;42;2007;Fri;2007-42;0;
4;20 окт€бр€ 2007 г.;$736,61;$0,00;$0,00;$534,90;24;$22,29;$201,71;6;30;$33,62;$24,55;;;;42;2007;Sat;2007-42;0;
;21 окт€бр€ 2007 г.;$5 977,02;$627,85;$6 604,88;;168;$20,67;$1 046,52;13;181;$82,60;$166,16;;;;43;2007;Sun;2007-43;0;
5;22 окт€бр€ 2007 г.;$782,78;$0,00;$0,00;$611,80;45;$13,60;$170,98;3;48;$56,99;$16,31;;;;43;2007;Mon;2007-43;0;
5;23 окт€бр€ 2007 г.;$511,60;$0,00;$0,00;$395,25;36;$10,98;$116,35;2;38;$58,18;$13,46;;;;43;2007;Tue;2007-43;0;
